variant,injury_bucket,position,n_players,mae,rmse,mean_bias,spearman,top12_hit,top24_hit,top36_hit,cov_50,cov_80
v1_no_reg,all,TE,89.0,28.98099449679283,39.86522013469242,0.3343327236741745,0.7481483967563651,0.5833333333333334,0.763888888888889,0.7314814814814815,0.5912773153348357,0.8561273333912277
v2_phase1,all,TE,89.0,28.525698049228637,39.479954304533884,-5.066548566774151,0.7600336650547334,0.5277777777777778,0.7777777777777777,0.7129629629629629,0.4642034995707751,0.8762612781268048
v2_phase2_all,all,TE,89.0,28.878962804923315,39.355103534535,-3.1267661734581114,0.7597054277020058,0.5555555555555556,0.7083333333333334,0.7129629629629629,0.47117644630275796,0.8191598961128692
v2_phase2_no_draft,all,TE,89.0,28.916732754217687,39.9126809716529,-3.0053422502907803,0.7613960326721187,0.5277777777777778,0.6944444444444445,0.7222222222222222,0.4587751929376492,0.8295595236908878
v2_phase2_no_ngs,all,TE,89.0,29.35609958181205,40.533522834772135,-3.306374041900812,0.7547336920381719,0.5555555555555556,0.736111111111111,0.7407407407407408,0.46251697087297555,0.8494443329266493
v2_phase2_no_snap,all,TE,89.0,28.61729650688449,39.30560497536414,-4.104522922484462,0.76681856877964,0.5833333333333334,0.7083333333333334,0.7407407407407408,0.4553077013240247,0.8154968924498656
v1_no_reg,all,WR,168.66666666666666,42.318241668882074,55.599070278535976,6.031876568142208,0.7412814163700733,0.5555555555555556,0.6805555555555555,0.7407407407407408,0.5232390654921272,0.8388332547918987
v2_phase1,all,WR,199.0,40.75793041588181,54.561702732293675,-6.851690966732957,0.7353578367352731,0.47222222222222227,0.5972222222222222,0.6759259259259259,0.5007663868538602,0.8200640444907599
v2_phase2_all,all,WR,199.0,40.44616524791613,54.064216015773276,-3.1754053470806904,0.7312780019721808,0.4444444444444444,0.5972222222222222,0.6944444444444445,0.47308813492458324,0.8081497443631597
v2_phase2_no_draft,all,WR,199.0,40.778887686766375,54.46565725192111,-4.289023058508258,0.7331671031881563,0.47222222222222215,0.5694444444444444,0.6944444444444445,0.45845635147141744,0.8038498262297886
v2_phase2_no_ngs,all,WR,199.0,40.57004966744917,54.524252401289466,-5.927856996365676,0.7304703734529019,0.5,0.5833333333333334,0.6759259259259259,0.49061937603315164,0.8334140653501675
v2_phase2_no_snap,all,WR,199.0,41.04186714595712,54.75870151281555,-3.7676933246797173,0.7247449854184919,0.47222222222222215,0.5555555555555555,0.6944444444444445,0.4572551463387812,0.808712948368166
