test_season,variant,injury_bucket,position,n_players,mae,rmse,mean_bias,spearman,top12_hit,top24_hit,top36_hit,cov_50,cov_80
2021,v1_no_reg,healthy,QB,28,70.12656543683258,85.40130032038765,-10.439711889303968,0.3785411284935865,0.5,0.875,NaN,0.42857142857142855,0.8214285714285714
2021,v1_no_reg,healthy,RB,78,53.82580827090995,67.97147088920698,-7.871675039981554,0.6016553171968492,0.5,0.75,0.7222222222222222,0.5384615384615384,0.8974358974358975
2021,v1_no_reg,healthy,TE,62,31.194892578927643,42.32948293884805,-10.135481555977135,0.7325451093756797,0.5833333333333334,0.75,0.75,0.6612903225806451,0.9032258064516129
2021,v1_no_reg,healthy,WR,124,47.48478309504275,64.15990836932498,-13.037364025118505,0.7230014885963448,0.4166666666666667,0.625,0.6944444444444444,0.532258064516129,0.8225806451612904
2021,v1_no_reg,healthy,ALL,292,47.89093603096269,63.73425240860018,-10.79224514248065,0.742902897548362,0.4166666666666667,0.4583333333333333,0.5277777777777778,0.5513698630136986,0.8595890410958904
2021,v1_no_reg,injured,QB,22,63.721317155367046,87.18978772186814,58.21900085205989,0.34839073969508755,0.5833333333333334,NaN,NaN,0.5454545454545454,0.8636363636363636
2021,v1_no_reg,injured,RB,37,40.86239183786363,59.780968355732455,39.0055518597898,0.5461847265581917,0.6666666666666666,0.8333333333333334,0.9444444444444444,0.7027027027027027,0.8648648648648649
2021,v1_no_reg,injured,TE,21,21.644172149174114,28.11448644957456,20.446720730190773,0.6222799938461485,0.8333333333333334,NaN,NaN,0.7619047619047619,1.0
2021,v1_no_reg,injured,WR,45,48.0548475776471,66.91176306453335,46.15944388040452,0.5554960847466492,0.5,0.75,0.8611111111111112,0.5333333333333333,0.8222222222222222
2021,v1_no_reg,injured,ALL,125,44.24618585236644,64.34573908802071,41.84463638007799,0.5280237278355909,0.4166666666666667,0.4583333333333333,0.5833333333333334,0.624,0.872
2021,v1_no_reg,all,QB,50,67.30825619298771,86.19280695339057,19.77012171689613,0.7508163665975639,0.5,0.8333333333333334,0.8611111111111112,0.48,0.84
2021,v1_no_reg,all,RB,115,49.65496994027767,65.44820064268657,7.21056317994488,0.6742609146595497,0.5,0.6666666666666666,0.6388888888888888,0.591304347826087,0.8869565217391304
2021,v1_no_reg,all,TE,83,28.77844524127916,39.222809493497245,-2.3978159173081486,0.7451708886241272,0.5833333333333334,0.7083333333333334,0.6944444444444444,0.6867469879518072,0.927710843373494
2021,v1_no_reg,all,WR,169,47.636575412895986,64.90404925512397,2.7250996183639553,0.6791332277377155,0.4166666666666667,0.5833333333333334,0.6111111111111112,0.5325443786982249,0.8224852071005917
2021,v1_no_reg,all,ALL,417,46.798385018194026,63.918165736420185,4.986196560924221,0.7111508876313929,0.4166666666666667,0.4166666666666667,0.5,0.5731414868105515,0.8633093525179856
2022,v1_no_reg,healthy,QB,33,85.38910595646416,102.36910916004652,-19.80602922640107,0.25935828877005346,0.4166666666666667,0.75,NaN,0.3333333333333333,0.7575757575757576
