test_season,variant,injury_bucket,position,n_players,mae,rmse,mean_bias,spearman,top12_hit,top24_hit,top36_hit,cov_50,cov_80
2021,no_reg,healthy,QB,29,75.52963932503094,93.43850707547384,-17.900953141210216,0.36531592837758264,0.5,0.8333333333333334,NaN,0.41379310344827586,0.7241379310344828
2021,no_reg,healthy,RB,80,53.281644462117285,67.3098443649392,-7.329011969102339,0.6221672654072226,0.5,0.75,0.7222222222222222,0.55,0.9
2021,no_reg,healthy,TE,67,31.59368702202457,42.50378773506311,-11.681796095415667,0.7161599939354236,0.5833333333333334,0.75,0.7222222222222222,0.6567164179104478,0.8955223880597015
2021,no_reg,healthy,WR,131,46.8998534369133,63.42859701034986,-13.192550160148635,0.7303310356851072,0.4166666666666667,0.625,0.6944444444444444,0.5419847328244275,0.8244274809160306
2021,no_reg,healthy,ALL,307,47.92686947265983,64.15877353149612,-11.779651491842358,0.738947306210722,0.4166666666666667,0.4166666666666667,0.5277777777777778,0.5570032573289903,0.8501628664495114
2021,no_reg,injured,QB,35,50.82366441710386,72.44896609593648,36.44076433235536,0.25029764050455466,0.5,0.7083333333333334,NaN,0.6,0.9142857142857143
2021,no_reg,injured,RB,43,38.725682728302715,57.3488671136322,34.85055561507245,0.4624025824131468,0.6666666666666666,0.7083333333333334,0.8333333333333334,0.7209302325581395,0.8837209302325582
2021,no_reg,injured,TE,30,16.72803579734834,23.820048235155607,13.797328321387333,0.5918075674148475,0.75,0.875,NaN,0.8333333333333334,1.0
2021,no_reg,injured,WR,56,40.907069819562416,60.51797911683786,36.26218514052271,0.4645369925106224,0.5,0.625,0.7222222222222222,0.6071428571428571,0.8571428571428571
2021,no_reg,injured,ALL,164,38.02847314470486,57.76581768778288,31.820749149947833,0.43420319795718637,0.3333333333333333,0.4166666666666667,0.5277777777777778,0.676829268292683,0.9024390243902439
2021,no_reg,all,QB,64,62.018559297258314,82.62317770525101,11.817173602145958,0.7339537763179594,0.5,0.7916666666666666,0.8055555555555556,0.515625,0.828125
2021,no_reg,all,RB,123,48.19297491289757,64.00403899354441,7.416690519674211,0.687320120882126,0.5,0.625,0.6111111111111112,0.6097560975609756,0.8943089430894309
2021,no_reg,all,TE,97,26.996062931918523,37.72693028273824,-3.801654523208551,0.7635978656090072,0.5833333333333334,0.7083333333333334,0.6666666666666666,0.711340206185567,0.9278350515463918
2021,no_reg,all,WR,187,45.10522304882961,62.57117149608937,1.6174240475390396,0.6913291319620232,0.4166666666666667,0.5833333333333334,0.6111111111111112,0.5614973262032086,0.8342245989304813
2021,no_reg,all,ALL,471,44.48029410581351,62.00761568085275,3.401804357952953,0.7124887792733762,0.4166666666666667,0.375,0.5,0.5987261146496815,0.8683651804670913
2021,reg_1x,healthy,QB,29,75.71544157924195,92.92050633696775,-18.586974050454963,0.36038921322751416,0.5,0.8333333333333334,NaN,0.41379310344827586,0.7931034482758621
2021,reg_1x,healthy,RB,80,52.67909865603785,66.71396343044795,-7.532877167720095,0.6215109090056853,0.5,0.75,0.7222222222222222,0.5625,0.9125
2021,reg_1x,healthy,TE,67,31.295492024507485,42.26762171872827,-11.621285145836872,0.7141645634702928,0.5833333333333334,0.75,0.7222222222222222,0.6567164179104478,0.8955223880597015
2021,reg_1x,healthy,WR,131,46.468346265262085,62.91483297014933,-13.068606293067024,0.7338823651882439,0.4166666666666667,0.625,0.6944444444444444,0.5572519083969466,0.8244274809160306
2021,reg_1x,healthy,ALL,307,47.53819877743446,63.67378652179285,-11.831485179295283,0.7400063973001356,0.4166666666666667,0.4583333333333333,0.5277777777777778,0.5667752442996743,0.8599348534201955
2021,reg_1x,injured,QB,35,51.745506744286104,72.46169705613957,39.296460208733066,0.2214440792600453,0.5,0.7083333333333334,NaN,0.6,0.9142857142857143
2021,reg_1x,injured,RB,43,39.37705175471433,57.25605191898194,36.34038535334719,0.4645953180668106,0.6666666666666666,0.7083333333333334,0.8611111111111112,0.6976744186046512,0.8837209302325582
2021,reg_1x,injured,TE,30,17.16066364901593,23.988486568597665,14.884251283581973,0.5780567452674034,0.75,0.8333333333333334,NaN,0.8333333333333334,1.0
2021,reg_1x,injured,WR,56,41.59040402009243,60.33080815886695,37.31346934681374,0.44760575541657444,0.5,0.625,0.7222222222222222,0.6071428571428571,0.8392857142857143
2021,reg_1x,injured,ALL,164,38.70846643962429,57.69093343909924,33.378624996515946,0.4290632715429904,0.3333333333333333,0.4166666666666667,0.5277777777777778,0.6707317073170732,0.8963414634146342
2021,reg_1x,all,QB,64,62.606883466375464,82.36416927552091,13.068029060038489,0.7260322588619105,0.5,0.7916666666666666,0.8055555555555556,0.515625,0.859375
2021,reg_1x,all,RB,123,48.02878957671338,63.56772325036763,7.804930055092046,0.6859947483802256,0.5,0.625,0.6111111111111112,0.6097560975609756,0.9024390243902439
2021,reg_1x,all,TE,97,26.923895619716276,37.57636873943967,-3.4236965594186746,0.7626239896136505,0.5833333333333334,0.7083333333333334,0.6944444444444444,0.711340206185567,0.9278350515463918
2021,reg_1x,all,WR,187,45.007572116975986,62.152277303384686,2.0190741124587652,0.6937434419785722,0.4166666666666667,0.5833333333333334,0.6111111111111112,0.5721925133689839,0.8288770053475936
2021,reg_1x,all,ALL,471,44.46372722032009,61.656499443246055,3.9104640114330422,0.711343525716176,0.4166666666666667,0.4166666666666667,0.5,0.6029723991507431,0.8726114649681529
2021,reg_2x,healthy,QB,29,75.80926240124163,92.40663271153608,-19.117709268610156,0.36038921322751416,0.5,0.8333333333333334,NaN,0.41379310344827586,0.7931034482758621
2021,reg_2x,healthy,RB,80,52.20223758278949,66.25042119902717,-7.750578385262654,0.62033884400294,0.5,0.75,0.7222222222222222,0.5625,0.9
2021,reg_2x,healthy,TE,67,31.22915650836457,42.13986690964009,-11.643663639244973,0.7177962469168309,0.5833333333333334,0.75,0.7222222222222222,0.6567164179104478,0.8955223880597015
2021,reg_2x,healthy,WR,131,46.16928198952153,62.52144356051851,-13.003032424011069,0.7354384447751768,0.4166666666666667,0.625,0.6944444444444444,0.5572519083969466,0.816793893129771
2021,reg_2x,healthy,ALL,307,47.28070698028311,63.292055638685675,-11.915252609073518,0.7413262938857732,0.4166666666666667,0.4583333333333333,0.5277777777777778,0.5667752442996743,0.8534201954397395
2021,reg_2x,injured,QB,35,52.63385280816008,72.56145386313084,41.352567166476284,0.21247986605786764,0.5,0.7083333333333334,NaN,0.6,0.9142857142857143
2021,reg_2x,injured,RB,43,40.09998512884944,57.233298123712096,37.459228793252215,0.4499266726595421,0.6666666666666666,0.7083333333333334,0.8611111111111112,0.6976744186046512,0.8837209302325582
2021,reg_2x,injured,TE,30,17.601923063881753,24.21175125865532,15.647228157305252,0.564898817809542,0.75,0.8333333333333334,NaN,0.8333333333333334,1.0
2021,reg_2x,injured,WR,56,42.14508677325841,60.20353399246387,38.110427230915015,0.4407274495323397,0.5,0.625,0.6944444444444444,0.6071428571428571,0.8392857142857143
2021,reg_2x,injured,ALL,164,39.35772414661617,57.6834329474647,34.52248450357874,0.4294366591754407,0.3333333333333333,0.4166666666666667,0.5277777777777778,0.6707317073170732,0.8963414634146342
2021,reg_2x,all,QB,64,63.13521028002515,82.14995319527077,13.951973156827734,0.7177444284599171,0.5,0.75,0.8055555555555556,0.515625,0.859375
2021,reg_2x,all,RB,123,47.971368838729155,63.24442406290305,8.054476156819781,0.681128599705365,0.5,0.625,0.6111111111111112,0.6097560975609756,0.8943089430894309
2021,reg_2x,all,TE,97,27.014548226565765,37.521505674264674,-3.203181640311914,0.764037705289209,0.5833333333333334,0.75,0.6944444444444444,0.711340206185567,0.9278350515463918
2021,reg_2x,all,WR,187,44.964175400694074,61.836424585456925,2.3036720715817682,0.6940655767757554,0.4166666666666667,0.5833333333333334,0.6111111111111112,0.5721925133689839,0.8235294117647058
2021,reg_2x,all,ALL,471,44.521961365163406,61.39732675085259,4.254150546924294,0.710606028430221,0.4166666666666667,0.4166666666666667,0.5,0.6029723991507431,0.8683651804670913
2021,reg_0_5x,healthy,QB,29,75.64014277853346,93.18488318097909,-18.270590594848137,0.36038921322751416,0.5,0.8333333333333334,NaN,0.41379310344827586,0.7931034482758621
2021,reg_0_5x,healthy,RB,80,52.95775853238623,66.99068900922077,-7.425726559566291,0.6228470631088148,0.5,0.75,0.7222222222222222,0.5625,0.9125
2021,reg_0_5x,healthy,TE,67,31.404453891332615,42.3630163630915,-11.629815873395554,0.7137056144633129,0.5833333333333334,0.75,0.7222222222222222,0.6567164179104478,0.8955223880597015
2021,reg_0_5x,healthy,WR,131,46.664382850479576,63.152968306437316,-13.120183809638446,0.7325905255311675,0.4166666666666667,0.625,0.6944444444444444,0.5419847328244275,0.8244274809160306
2021,reg_0_5x,healthy,ALL,307,47.71113155472469,63.90002089608544,-11.797547213667876,0.7397685463364708,0.4166666666666667,0.4166666666666667,0.5277777777777778,0.5602605863192183,0.8599348534201955
2021,reg_0_5x,injured,QB,35,51.23212965960926,72.44645953204653,38.01862770168979,0.24721619221630617,0.5,0.7083333333333334,NaN,0.6,0.9142857142857143
2021,reg_0_5x,injured,RB,43,38.99235602960489,57.288363206449745,35.664313048531795,0.47162719447338775,0.6666666666666666,0.7083333333333334,0.8611111111111112,0.7209302325581395,0.8837209302325582
2021,reg_0_5x,injured,TE,30,16.930762349142466,23.88447784824304,14.411209066810633,0.585193248295396,0.75,0.875,NaN,0.8333333333333334,1.0
