variant,injury_bucket,position,n_players,mae,rmse,mean_bias,spearman,top12_hit,top24_hit,top36_hit,cov_50,cov_80
reg_0_5x,injured,ALL,154.0,35.025453309893926,54.018715989782066,31.307968943302864,0.45022930103290415,0.3611111111111111,0.375,0.48148148148148145,0.7009090542948914,0.8824071246079187
reg_1x,injured,ALL,154.0,35.451729471492435,54.080450690451464,32.060405819542886,0.4504266706809445,0.3611111111111111,0.375,0.48148148148148145,0.6988765339696882,0.8803746042827155
reg_2x,injured,ALL,154.0,36.27592073310981,54.241126478326045,33.317311627463674,0.45363533534887396,0.3611111111111111,0.375,0.48148148148148145,0.6923477814659803,0.8803746042827155
no_reg,injured,QB,33.666666666666664,44.07377172473924,63.457609070069786,33.777375853353846,0.3776405526178099,0.5277777777777778,0.7361111111111112,NaN,0.7024509803921569,0.8782913165266106
reg_0_5x,injured,QB,33.666666666666664,44.357582045233784,63.57031527150315,35.23620962509559,0.37958661593390247,0.5555555555555555,0.7361111111111112,NaN,0.7024509803921569,0.8782913165266106
reg_1x,injured,QB,33.666666666666664,44.767442968816944,63.74568305166843,36.48882869213313,0.37293143655826394,0.5555555555555555,0.7361111111111112,NaN,0.7024509803921569,0.8782913165266106
reg_2x,injured,QB,33.666666666666664,45.749295509959694,64.18612593231522,38.57813663070404,0.37503692784249826,0.5555555555555555,0.7361111111111112,NaN,0.6822303921568628,0.8782913165266106
no_reg,injured,RB,42.0,40.287446751298496,61.29152665240716,37.63459117075373,0.4647019756035157,0.5555555555555556,0.7083333333333334,0.8796296296296297,0.6892379527630444,0.8553923568611451
reg_0_5x,injured,RB,42.0,40.727048972318926,61.250536464871374,38.40437821720712,0.46787954720195263,0.5555555555555556,0.7083333333333334,0.8888888888888888,0.6804660229384831,0.8553923568611451
reg_1x,injured,RB,42.0,41.1777462125087,61.22694541718966,39.06234861391588,0.4624899725113308,0.5555555555555556,0.7083333333333334,0.8888888888888888,0.672714084953987,0.8553923568611451
reg_2x,injured,RB,42.0,42.001394231485286,61.211266103311864,40.1706668059139,0.4518526706736899,0.5555555555555556,0.7083333333333334,0.8796296296296297,0.6653066775465796,0.8553923568611451
no_reg,injured,TE,29.0,16.227392471402194,23.61333346081052,14.70120950870247,0.48480931318675075,0.6666666666666666,0.9027777777777778,NaN,0.7922525503170664,0.9507857733664186
reg_0_5x,injured,TE,29.0,16.652737171348654,23.751923417068923,15.395807920883499,0.48356483398188743,0.6666666666666666,0.9027777777777778,NaN,0.7922525503170664,0.9507857733664186
reg_1x,injured,TE,29.0,17.049708374509205,23.910293062720637,15.936052187655726,0.4752070273285463,0.6666666666666666,0.888888888888889,NaN,0.7922525503170664,0.9507857733664186
reg_2x,injured,TE,29.0,17.761375925997907,24.22096939162076,16.797497051518935,0.46738340078991025,0.6666666666666666,0.875,NaN,0.7922525503170664,0.9507857733664186
no_reg,injured,WR,49.333333333333336,33.073796364763474,49.976848650383516,30.06123452391458,0.44616031459638705,0.5555555555555556,0.6666666666666666,NaN,0.6776420378115292,0.8792770318194046
reg_0_5x,injured,WR,49.333333333333336,33.429223734278885,50.012685947752466,30.804763511872295,0.446859220095337,0.5555555555555556,0.6666666666666666,NaN,0.671992320297405,0.8736273143052804
reg_1x,injured,WR,49.333333333333336,33.8705471188349,50.063516404888475,31.435538886873843,0.43548601949810023,0.5555555555555556,0.6527777777777778,NaN,0.671992320297405,0.8676749333528995
reg_2x,injured,WR,49.333333333333336,34.664366897731874,50.18908547003128,32.50329018212729,0.43159309160552645,0.5555555555555556,0.6527777777777778,NaN,0.671992320297405,0.8676749333528995
