variant,injury_bucket,position,n_players,mae,rmse,mean_bias,spearman,top12_hit,top24_hit,top36_hit,cov_50,cov_80
v1_no_reg,all,ALL,462.0,43.487424004553674,61.040195412618054,4.762906618283243,0.7300587060523623,0.2777777777777778,0.3888888888888889,0.49074074074074076,0.5659748179767,0.8357125905898637
v2_phase1,all,ALL,539.6666666666666,43.4267743000668,61.7774335915391,-5.957799160129357,0.7067836058278046,0.2222222222222222,0.2916666666666667,0.3148148148148148,0.3683834566360731,0.6634015242810335
v1_no_reg,all,QB,64.66666666666667,64.63831575693837,86.92796535796215,5.538107350590003,0.7051562244259167,0.5277777777777778,0.7361111111111112,0.8148148148148149,0.529294252941641,0.7919467641948984
v2_phase1,all,QB,82.33333333333333,66.308172861764,90.00890390454822,-5.061223823538188,0.6704857995438335,0.3333333333333333,0.47222222222222227,0.5185185185185185,0.25996281220161815,0.5375032804551876
v1_no_reg,all,RB,120.0,49.096147250520595,67.47697672772934,7.395515179187567,0.683332365555235,0.4166666666666667,0.611111111111111,0.6481481481481481,0.5801038843721771,0.8211799041067334
v2_phase1,all,RB,149.33333333333334,44.506444197739675,63.1493508527866,-7.156926718195735,0.6564715321335429,0.4166666666666667,0.611111111111111,0.5925925925925927,0.36327561327561325,0.6785714285714285
v1_no_reg,all,TE,97.33333333333333,27.775563054727087,38.74444794239154,-0.30740609486813053,0.7550163144250569,0.5833333333333334,0.763888888888889,0.7222222222222222,0.6097985872470408,0.8628347478218612
v2_phase1,all,TE,97.33333333333333,28.594903914827967,40.011530922398954,-5.607428574879879,0.745628059352413,0.5555555555555556,0.75,0.7222222222222222,0.3734021920233261,0.6473660574820369
v1_no_reg,all,WR,180.0,40.53298329312357,54.048326853545895,5.551122819795398,0.7533891364889675,0.5555555555555556,0.6805555555555555,0.75,0.5454438073148208,0.8470674140411916
v2_phase1,all,WR,210.66666666666666,40.4650433463772,54.19209675102989,-5.02171673182047,0.7367843977726228,0.38888888888888884,0.5833333333333334,0.6759259259259259,0.4047326860824157,0.70875087064519
