player_id,player_name,position,mean,std,p10,p25,p50,p75,p90,risk_adjusted_0.5,risk_adjusted_1.0,p_positive,realized_career_vorp,anchor_season,inside_50,inside_80
00-0019596,T.Brady,QB,305.3655072594442,261.04522221722954,0.0,69.4809177732973,231.09218912302023,552.2909887129892,695.9906310862931,100.56957801440547,-29.953033094209303,0.85,378.2737000809312,2017,true,true
00-0020531,D.Brees,QB,340.61667256283783,246.22094395553435,0.0,139.12108538785233,306.2662104877105,574.0240302180607,679.7667946052109,183.15573850994332,60.04526653217616,0.854,126.13304840963265,2017,false,true
00-0021206,J.McCown,QB,112.96730842077957,172.1448798739646,0.0,0.0,0.0,199.9140031302661,413.70309188394396,-86.0724399369823,-172.1448798739646,0.428,0.0,2017,true,true
00-0021429,C.Palmer,QB,137.8015636379468,205.8014654448948,0.0,0.0,0.0,297.88391098795535,483.5379786706712,-102.9007327224474,-205.8014654448948,0.394,0.0,2017,true,true
00-0021547,A.Gates,TE,59.631252262958526,115.07515283647199,0.0,0.0,0.0,47.340248482941504,269.3847545663952,-57.53757641823599,-115.07515283647199,0.307,0.0,2017,true,true
00-0022127,J.Witten,TE,145.2504753831635,133.3037236246858,0.0,0.0,165.0515102440078,255.23257091316566,328.6607486543537,98.3996484316649,31.747786619322,0.634,37.882797731569,2017,true,true
00-0022803,E.Manning,QB,161.51657860621094,223.36881449819182,0.0,0.0,0.0,360.9962677132599,541.3293966282653,-111.68440724909591,-223.36881449819182,0.486,52.81739130434784,2017,true,true
00-0022921,L.Fitzgerald,WR,150.93099952838253,196.908614232036,0.0,0.0,43.59211751409925,281.44809071445843,494.47142144428693,-54.86218960191875,-153.31649671793676,0.58,79.43213610586011,2017,true,true
00-0022924,B.Roethlisberger,QB,181.78655902141284,181.15779222111428,0.0,0.0,125.16440413393981,346.71727906631884,455.93648437916414,34.58550802338267,-55.993388087174466,0.712,203.38112571067143,2017,true,true
00-0022942,P.Rivers,QB,437.52936374237885,210.53485791053873,32.89427818385329,341.42630509530625,486.60565661109797,585.5750743241739,662.9553643251724,381.33822765582863,276.07079870055924,0.931,130.37659242212544,2017,false,true
00-0022943,B.Watson,TE,164.35003633086978,174.6274462400276,0.0,0.0,118.8468452369364,306.776381062751,437.16659901429216,31.5331221169226,-55.780601003091206,0.601,9.826086956521738,2017,true,true
00-0023436,A.Smith,QB,271.64301267253455,241.5043920596563,0.0,19.391181641857614,217.9405923783791,492.3742167380715,627.4050119704019,97.18839634855095,-23.563799681277203,0.779,0.0,2017,false,true
00-0023459,A.Rodgers,QB,120.73349910083986,168.07887475431588,0.0,0.0,0.0,274.5148419498859,396.0021882934989,-84.03943737715794,-168.07887475431588,0.433,402.4875260998367,2017,false,false
00-0023500,F.Gore,RB,125.83339442521009,120.71855507150892,0.0,0.0,127.38375033109884,221.99142841021347,302.1865272290592,67.02447279534438,6.665195259589922,0.627,0.0,2017,true,true
00-0023564,D.Sproles,RB,37.287761664237486,88.42482235493806,0.0,0.0,0.0,0.0,177.69233665743198,-44.21241117746903,-88.42482235493806,0.221,0.0,2017,true,true
00-0023645,D.Anderson,QB,4.337452052628593,18.432098879477294,0.0,0.0,0.0,0.0,2.8071280631902114,-9.216049439738647,-18.432098879477294,0.109,0.0,2017,true,true
00-0023662,M.Cassel,QB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,true,true
00-0023682,R.Fitzpatrick,QB,28.129390692704412,79.9624460000677,0.0,0.0,0.0,0.0,114.31054051257554,-39.98122300003385,-79.9624460000677,0.166,14.13988657844992,2017,false,true
00-0024221,V.Davis,TE,102.14235792346913,118.01214528761821,0.0,0.0,41.17345958006281,198.83894603212642,283.89859203592874,-17.832613063746294,-76.8386857075554,0.569,0.0,2017,true,true
00-0024226,J.Cutler,QB,32.69392044209956,90.34391598285139,0.0,0.0,0.0,0.0,136.19798177752546,-45.17195799142569,-90.34391598285139,0.173,0.0,2017,true,true
